179159,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533197,172.634653
181663,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533197,172.635
181665,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533197,172.635
172587,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533194,172.632994
97274,Jennifer Middendorf,Creative Commons BY-NC-SA 3.0,-43.533194,172.634561
180684,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533192,172.631622
181680,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533192,172.634933
172591,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533189,172.632981
163353,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533189,172.633683
179169,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533189,172.634003
174584,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533189,172.634614
181661,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533189,172.635003
179157,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533183,172.634792
179574,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533181,172.632631
180781,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533181,172.633164
163355,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533181,172.633225
181676,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533181,172.634933
181677,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533181,172.634964
173397,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533178,172.633006
180788,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533178,172.633039
180828,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533178,172.633147
179167,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533178,172.634108
180829,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533175,172.633144
179165,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533175,172.63435
180164,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533172,172.634369
180540,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533172,172.634414
179156,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533172,172.634861
180830,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533169,172.633136
179170,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533169,172.633956
172382,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533164,172.630539
173380,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533164,172.632964
173383,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533164,172.632964
173386,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533164,172.632964
180831,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533164,172.633131
181689,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533164,172.634536
173388,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533161,172.632919
173391,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533161,172.632919
173394,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533161,172.632919
180787,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533161,172.633042
180832,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533161,172.633125
179168,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533161,172.634017
180542,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533161,172.634628
179160,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533161,172.634631
173422,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533158,172.630925
180162,BeckerFraserPhotos,Creative Commons BY-NC 3.0,-43.533158,172.633592
